ID,SMILES,M-fortuitum,M-kansasii,M-bovis,M-tuberculosis-MABA,M-tuberculosis-LORA,M-smegmatis,M-abcessus,M-tuberculosis-BACTEC,task_concatenada
10880,Cc1ccc(C=NNc2nsc(Nc3ccccc3)n2)cc1,,,,0.0,,,,,
12937,O=C(Nc1cccc(-c2nc3ncccc3o2)c1)c1ccc([N+](=O)[O-])o1,,,,,,1.0,,,
5031,O=C(C=Cc1ccccc1)N1CCN(C(=O)C=Cc2ccccc2)CC1,,,,1.0,,,,,
9621,S=C(Nc1ccccc1)Nc1cccc(-c2nc3ccccc3o2)c1,,,,0.0,,,,,
7819,COc1nc(-c2cccc(Cl)c2)ccc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,,,,1.0,1.0,,,,
7652,O=C1c2ccccc2SCC12C(c1cccc3ccccc13)C1CSCN1C21C(=O)c2ccccc2C1=O,,,,0.0,,,,,
12696,CON=C1C(=O)N(CN2CCCC3CN(c4c(F)cc5c(=O)c(C(=O)O)cn(C6CC6)c5c4OC)CC32)c2ccc(F)cc21,,,,,,1.0,,,
8201,Cc1nn(CC(=O)N2c3ccccc3Sc3ccccc32)c(=N)s1,,,,1.0,,,,,
17529,Cc1ccc(-c2nc3ccccc3c(-c3ccccc3)c2Sc2nnc(C)s2)cc1,,,,,,,,,0.0
15227,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OC3CCOC3)nc2s1,,,,,,,,,1.0
6457,COc1ccc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(CC=C(C)C)c1O,,,,0.0,,,,,
3170,O=[N+]([O-])c1cn2c(n1)OCC(OCc1ncc(-c3ccc(C(F)(F)F)nc3)cn1)C2,,,,1.0,0.0,,,,
15508,CC(C)=CC(=O)OC1C(O)C(C)(C)CC2C3=CCC4C56CCC(O)(OC5)C(C)(C)C6CCC4(C)C3(C)CCC21C(=O)O,,,,,,,,0.0,
